,category,description,id,parkCode,title,url
0,Caution,"Recent heavy rains have caused washouts and trenches across gravel roads and carriage roads, which can be made more hazardous hidden under fresh snow. In some cases, orange cones and warning signs are obscured. Esp, Western Mountain Road, Seal Cove Road",3CAF6988-C657-CB14-F1F1F8D9CADB0544,acad,Be alert for trenches and washouts across gravel and carriage roads,
0,Park Closure,"Guided Tours of the historic homes have concluded for the 2019 season.  They will resume on Friday, May 1. 2020.  The Visitor Center is open Tuesday through Friday.  Please click on the link below for Visitor Center hours.",3DF734B7-1DD8-B71B-0BAF95FA1B562817,adam,"Historic Homes Closed through April 30, 2020",https://www.nps.gov/adam/planyourvisit/visitor-center.htm
0,Park Closure,Adams National Historical Park is credit or debit card only for all America the Beautiful pass purchases.,13D8DF73-DCD4-0681-C4DCC001D46D1A03,adam,Credit Card Only,
0,Information,Please be advised that visitors entering 290 Broadway are subject to airport-style security. This may include the removal of shoes and presenting of photo identification. Please plan accordingly.,23397233-155D-451F-6761C3A6476694B7,afbg,Security Screening,
0,Information,"Please be aware there is scaffolding along 290 Broadway and the outdoor memorial. The scaffolding is there to protect visitors and the memorial, because work is being done on the building.",52E31541-EE2B-80F5-1FD04072F7592237,afbg,Scaffolding,
0,Information,Please note that there is very limited cell phone service in the area.,3E44598E-1DD8-B71B-0BAB5E4EFF401171,agfo,Limited Cell Phone Coverage,
0,Information,Agate Fossil Beds National Monument is 30 - 50 miles from the nearest service stations.  Be sure to fill your gas tank before visiting.,3E6E24A1-1DD8-B71B-0BF47B2A2BA77175,agfo,No Services,
0,Caution,Texas Parks & Wildlife Department is implementing a containment strategy designed to limit the spread of Chronic Wasting Disease from Val Verde County. Please report “sick looking” deer while hunting to TPWD. Click link for more information.,3B9A5674-C3B4-8FD3-D03D309FFFA397A2,amis,Val Verde County White-Tailed Deer Tests Postive for Chronic Wasting Disease,https://tpwd.texas.gov/huntwild/wild/diseases/cwd/
0,Park Closure,The Spur 454 Day Use Area and boat launch has closed to vehicles due to the rise in the lake level and water over the road.  The area beyond the gate can still be accessed on foot.,1D5879BD-0C25-342C-FF56BACF28F098CE,amis,Spur 454 Day Use Area is now closed to vehicles,
0,Park Closure,"This is an ongoing list of closures related to previous storm damage for public safety. 
Devils Island Dock & Campsite; All stairs & West Bay Club on Sand Island; Hokenson Dock at Little Sand Bay.

Partial closure of the East Bay dock at Sand Island.",4AC42190-0C74-4907-91BAF37E082B7EED,apis,Ongoing Storm Damage Closures,
0,Information,"Reminder: There are private holdings on the southeast corner of Sand Island, and just north of Group Site A on Rocky Island. It is trespassing to be on their property, including their docks. Stay out of those clearly marked areas or you can be fined.",5D7507BF-1DD8-B71B-0BF00341B4063A87,apis,Private Property: Sand & Rocky Islands,
0,Danger,"Bears have been particularly active this year on the A.T. Please be ""bear aware"" while on the trail and especially near overnight sites. Use proper food storage (preferably in a bear resistant canister) and pay attention.",56CD15B6-CABB-EAD9-98FBB49D41C787EF,appa,BEAR WARNING TRAIL-WIDE,
0,Caution,"Hiking trails may be icy; we strongly recommend traction devices to attach to your hiking shoes. Backcountry roads may be icy or snow covered, especially in shaded areas. Fiery Furnace hiking permits may or may not be available due to ice and snow.",17F3E60D-155D-451F-6797159A0AA03A9D,arch,Winter Conditions,
0,Park Closure,Arlington House is temporarily closed through Early Spring of 2020 for the multi-million dollar rehabilitation of the site.,4341F545-1DD8-B71B-0B87A799D60BB170,arho,Arlington House Closed Until Early Spring of 2020 for Rehabilitation,https://www.nps.gov/arho/learn/news/rehabilitation-of-arlington-house-entering-construction-phase.htm
0,Caution,11-14-19: The boardwalk leading from Toms Cove Visitor Center to parking lot #2 is closed due to parking lot and boardwalk construction. It will reopen in the spring when pl #2 and boardwalk construction work are fully completed,2749749E-017C-DC13-F2E3B0F3B50B2550,asis,Virginia District- Boardwalk Closure,
0,Caution,"Because of recent fires and forest die-back, some areas of the Monument can be dangerous during times of high winds. Use caution and stay alert when hiking on windy days, and backcountry camp well away from stands of dead or fire damaged trees.",14782F36-1DD8-B71B-0BCA86558413B16E,band,Strong Winds and Hazard Trees,
0,Park Closure,"The park will be closed on Tuesday, February 4 through Wednesday, February 5. The closure will allow the park to complete annual training and meeting time to discuss park operations.

The park will be open for normal winter hours on Thursday, February 6.",12150C0F-B535-E9C2-2F95BA5189F8FAC7,beol,"Closure February 4, 2020 through February 5, 2020",
0,Information,"NEW: A selection of backcountry campsites (Chisos backpacking & primitive roadside) will become reservable online beginning Friday, February 7th at 9:00 am CST.

This is a slight delay from the original planned date of Saturday, February 1st.",0C68C681-C5B0-DC21-F07C10B32E682CEE,bibe,"UPDATE: Delay -- Backcountry Campsites will be online Friday, February 7",https://www.nps.gov/bibe/learn/news/changes-to-big-bend-camping-fees-and-reservations.htm
0,Information,"There are no areas of ongoing, active transmission of Zika by mosquitoes in Florida, yet please take appropriate personal protection measures including the use of insect repellent and wearing long-sleeved shirts and long pants during your park visit.",0A624DA1-1DD8-B71B-0B010C099120ED6E,bisc,Precautions for Zika Virus,https://www.nps.gov/articles/zika-virus.htm
0,Caution,Please use caution in park waters due to navigational markers that may be missing or moved because of Hurricane Irma.,40CBD3AE-1DD8-B71B-0B8C60D0372F14B2,bisc,Missing Navigational Markers,
0,Information,The Great Hall will be open from 12:00pm to 5:00pm.,1B222238-9083-800D-9689B579FCE059D3,bost,Great Hall Closure,
0,Information,"Wall Street and the Rim Trail from Bryce Point to Inspiration Point have closed for the
winter season. All other front country trails remain open. Fairyland Point Road and Paria
View Roads have closed to allow for skiing and other winter activities.",3E097E3A-EAA0-0A8E-3C7258804CA678E0,brca,Seasonal Road and Trail Closures,
0,Information,"Following winter storms, the 18-mile southern scenic drive may close beyond the Bryce Amphitheater at Mile 3 to allow crews to clear the road. These closures typically last between one to three days, depending on the severity of the storm.",338FA287-0D3B-D648-B6FA6FA1F208661E,brca,Winter Weather and the Scenic Drive,
0,Park Closure,"Except for paddling and equestrian thru-traffic, the Buffalo River and its banks from the Pruitt Bridge to the edge of the cleared construction area is closed until further notice in order to protect park visitors and construction staff and equipment.",42829AF1-DBF8-573B-16AB0EA1C0653BD7,buff,Closure in effect for Pruitt Bridge construction,https://www.nps.gov/buff/learn/news/area-closure-takes-effect-for-pruitt-bridge-construction.htm
0,Park Closure,"The pavilion at Ozark Campground is closed immediately. Severe storms in early January shifted and destabilized the structure, weakening support posts and causing the pavilion to lean. Park maintenance staff will begin repairs in late January.",133641EB-C4E7-6637-F376C3988E885732,buff,Ozark Pavilion Closure,
0,Information,Design a logo for the 50th anniversary of the park.,083E97B8-A556-F0F2-A538AA21A9DDB201,buff,50th Anniversary Logo Contest,https://www.nps.gov/buff/getinvolved/50th-anniversary-logo-contest.htm
0,Park Closure,"The Buffalo River low-water crossing on the Erbie Campground Road and the Cove Creek low-water crossing on Newton County Road 2900 are closed for construction beginning the week of September 30, 2019.",5F5C9124-FDB3-4BA4-19F239D361FC7450,buff,Erbie Area Road Closures,
0,Information,"If you use a driver for hire for transportation, make arrangements to pick you up at a certain time and location. Otherwise you will not be able to reach anyone, and you may have to hike up the road to the top of the park.",438F481D-DEFC-AE86-1EA489C048E4BB87,cabr,Cell Phone Service Is NOT Available In Tidepool Area,
0,Information,"Portable facilities will be provided during construction, and additional facilities are available at the lighthouse and tidepool areas. This project is funded by park entrance fees. Your fee dollars at work!",0D13CD4E-9848-73E4-BBD5D92A47514028,cabr,"Visitor Center Restrooms Will Be Under Construction Starting December 9, 2019.",
0,Information,The Military Bunker is temporarily closed for several weeks while some repairs are being completed. We are sorry for the inconvenience. Our plan is to reopen the bunker on December 7.,0E15A58F-CB85-C60A-27FD70342BFC745A,cabr,Military Bunker Temporarily Closed for Repairs,
0,Information,Use the link below to visit the National Weather Service website for current conditions in the park.,3C336EDF-1DD8-B71B-0B003F7248902567,cach,Current Weather Conditions,http://forecast.weather.gov/MapClick.php?lat=36.12308099049642&lon=-109.61089668713169#.VwvHaPkrK70
0,Information,The Seashore has temporarily closed the Ocracoke Beach Access parking area to support Hyde County debris cleanup efforts. The area will remain closed until debris removal operations are finished.,1D65B412-A800-4A15-6D4E4EFF171D9533,caha,Ocracoke Beach Access parking area closed to support debris cleanup efforts,
0,Information,"Reservation opening date has been rescheduled to February 12, due to an unforeseen and last minute technical glitch.",0E046D74-B444-CF37-FE07989B56E91A53,calo,"Cabin reservations delayed until February 12, 2020",
0,Information,"Beginning week of January 6 - passenger ferry schedule goes to 3 days a week- Friday, Saturday, and Sunday- with ferries leaving at 10:00 am, 12:00 pm (noon) and 2:00 pm.  Check directly with the ferry for more information.",029A3BAD-FDA4-00F0-BF0A308E37D4E234,calo,Winter passenger ferry schedule change,https://www.islandexpressferryservices.com/
0,Caution,Remember that rough surf is dangerous & rip currents can be deadly. Please use caution when swimming at Canaveral National Seashore.,1B462020-9953-F9BA-A20A401926AFC75F,cana,Rip Currents and Rough Surf,
0,Information,Magnolia is open during the closure of a section of Highway 119. Visitor access will be from the south from Highway 1. There are road closed ahead signs but the closure is past the parking lot. Please drive carefully,4F420002-1DD8-B71B-0BEE7F5E5DE1A29A,cari,Magnolia Plantation Road Detour,https://natchitochesparishjournal.com/2018/06/28/road-or-lane-status-closure-of-la-119-1-1-north-of-la-1-junction-at-derry/
0,Park Closure,Due to staff training and meetings Capulin Volcano National Monument and the visitor center will be closed from noon on February 3rd until the morning of February 6th.,446C6631-BB76-52CA-2B2C3E6DA7F94707,cavo,"Closure from 12:00pm on February 3, 2020 to 8:30am February 6, 2020",
0,Park Closure,"The Volcano Road is closed to RVs, buses, attached trailers or any other vehicles over 26 feet long while the road has the one-lane section. When the road returns to a full two lanes of traffic, this restriction will be re-assessed.",41331279-EF9B-191D-F12BE289F7BF129C,cavo,"Volcano Road Closed to All RVs, Buses, and Trailers",https://www.nps.gov/cavo/learn/news/volcano-road-opens.htm
0,Information,"The permanent exhibit space is closed through the end of March, 2020 for renovation and installation of a new exhibit. The Cultural Center is open during regular hours. Our overview video, interim exhibit panels, and other visitor services are available.",0C99CE29-A436-365B-07048FE4C0A02BC4,cham,Exhibit Space Under Construction: New Exhibit Coming Soon,
0,Park Closure,Multiple items are closed due to hazardous conditions or maintenance. See below for more details.,1BF1489D-1DD8-B71B-0BF441B9C38DC9CA,choh,Closures: Detours; Towpath; Points of Interest,https://www.nps.gov/choh/planyourvisit/conditions.htm
0,Information,"Guided tours inside LRCHS will be unavailable on all federal holidays plus other listed dates throughout the 2019-2020 student/teacher calendar. For a list of unavailable days, please check our website at www.nps.gov/chsc/planyourvisit/guidedtours.htm",68604249-908F-498A-8167479EA37E5C97,chsc,Dates with NO Guided Weekday Tours of Little Rock Central High School during the 2019-20 school year,https://www.nps.gov/chsc/planyourvisit/guidedtours.htm
0,Caution,Roads and trails may be snow-covered and icy. Some roads may be impassable or require four-wheel-drive throughout the winter.,425A7523-A978-33F3-85B77CD8DF024580,ciro,Winter Conditions,
0,Information,"The Clara Barton National Historic Site has resumed tours of the house.  Guided interpretive tours of the unfurnished house occur at the top of every hour, Fridays and Saturdays from 1 p.m. to 4 p.m.",562AD0D6-F25B-8910-F5868CC91E2DA4A7,clba,Clara Barton NHS new site hours,https://www.nps.gov/clba/planyourvisit/index.htm
0,Information,"The visitor center is getting new carpets and having the sandstone floor refinished. Until approximately February 10, 2020 we will be operating a small visitor contact station and giftshop out of one of the offices within the same building.",10FC8622-E1DC-C2DF-21FEC0739149FFAA,colm,Flooring Project at Visitor Center,
0,Caution,Winter snowstorms will cause Rim Rock Drive to have icy and snow packed conditions. Even if the road conditions are good at the entrances they may change at higher elevations. Call 970-858-3617 ext 311 for a daily update on the road conditions.,111E6500-C22C-9292-7A860166CBA9BF80,colm,Winter Driving Conditions on Rim Rock Drive,
0,Information,"For those interested in viewing the synchronized fireflies at Congaree National Park in 2020, please view our fireflies page for more information and updates on this years event.",09E807B6-E39F-B491-FD899DAD0876A4CE,cong,2020 Congaree Fireflies Festival (1/22/2020),https://www.nps.gov/cong/fireflies.htm
0,Information,"Bridge B connecting the Weston Lake Loop Trail to the Oakridge Trail is closed for decking replacement. During this work, Oakridge and River Trails will not be loop trails. Depending on conditions, work is estimated to be complete by the end of next week.",3B386F29-D2BC-EB0C-69A341186CEFA1AA,cong,Bridge B on Weston Lake Loop Closed,
0,Information,"The section of Bluff Trail between the Boardwalk & the junction with Longleaf Trail is closed until further notice. Visitors are still be able to hike to/from the Visitor Center, Longleaf Campground & Bluff Campground via the sections that remain open.",67524653-E096-07F2-748D3D1D90C53720,cong,Boardwalk Construction Information (Bluff Trail Access),
0,Information,"There will be no ferry service on Tuesdays & Wednesdays during the months of December, January, & February. For a full schedule of days & times the ferry is operating visit the Operating Hours & Seasons page.",24D15982-1DD8-B71B-0BDAD86F1009543B,cuis,"Ferry operating on Winter schedule Dec., Jan., and Feb.",https://www.nps.gov/cuis/planyourvisit/hours.htm
0,Information,Collecting antlers is illegal within the NPS boundary via 36 CFR 2.1 (1)(i).  Collectors should call (970-641-2337 x205) or visit the Elk Creek Visitor Center if unsure about the NPS boundary.,4E962D3F-9E02-BD66-A35500E9B6E437F8,cure,Antler Collecting Not Allowed in Curecanti,
0,Caution,A significant woody debris hazard exists near a set of metal pylons and timber groynes just upstream from the Lock 39/Rockside Rd. access. At medium/low flow portage on river right. This hazard is currently unnavigable. Do not attempt to paddle through.,5507BDBC-F968-29C6-828EB31C2FBD5BC8,cuva,Paddling Hazard Upstream from Lock 39/Rockside Road,https://www.nps.gov/cuva/planyourvisit/canoeing.htm
0,Information,The Third Street Bridge is closed until October 2021. This will affect traffic heading to the park from all points north on I-75. Detour posted in the Directions section. Visit Montgomery County's Engineer for complete info on the Third St. bridge closure,4689DBA4-C970-E5ED-DF02E58D5CEC5C43,daav,Third Street Bridge Closure over Great Miami River,https://www.mcohio.org/government/elected_officials/engineer/third_street_bridge.php
0,Information,"A project to improve accessibility, parking, and interpretive exhibits at Devils Tower will begin in late February 2020 continuing throughout Summer 2020. Impacts to parking, visitor center access, and other park services may be limited at times.",32C64EFD-155D-451F-6771055C8C90B4EC,deto,Construction Project to Impact Visitor Services in 2020,
0,Information,"Flooding in Grapevine Canyon from a severe thunderstorm has destroyed the road to Scotty's Castle, damaged infrastructure and some out-buildings in the Castle complex.",104C7082-C671-1015-A61C050298D26588,deva,Scotty's Castle CLOSED until fall 2021.,https://www.nps.gov/deva/learn/nature/flood-2015.htm
0,Caution,Wearing a lifejacket is MANDATORY for everyone recreating on the river between November 1 and April 30.,3B52F856-0C6D-4EA2-473E47FB824744B4,dewa,Mandatory Lifejacket,https://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=mtgn4&prob_type=stage&source=hydrograph
0,Information,Laboratory Complex will open at its regularly scheduled time of 10am today.,43BEBCC1-955E-98C7-7F7F9165B7F73347,edis,Park Reopening - January 19,
0,Information,All facilities in the park are closed in January and February 2020. The grounds remain open 9 am to 5 pm and visitors may drive out and park in designated parking areas to explore the grounds.,06582F64-ECAB-99A9-2A6CC6B52B5321DE,eise,Eisenhower Home and Facilities Closed for Winter,https://www.nps.gov/eise/planyourvisit/hours.htm
0,Caution,"Access roads to the Big Tubes area, including County Road 42 and NPS road 300 are considered to be in poor condition due to mud. Please use extra caution when traveling these roads.",6526F261-985F-C360-4551718A34B9D9F6,elma,County Road 42 and NPS road 300 in Poor Condition,
0,Information,"Caution: The following trails in the Flamingo area are not being maintained and may be in poor condition; Snake Bight, Rowdy Bend, Bear Lake, Christian Point, Bayshore Loop, and Coastal Prairie. Check at park visitor centers for updates.",48A7AF08-D543-72E2-D270BE786FA22568,ever,Trails in the Flamingo Area Not Being Maintained,
0,Information,"Due to a structural fire, the Watch Hill restaurant and snack bar are closed until further notice.",3C9E2F4D-B922-AA5C-DEBC6889E4EF9063,fiis,Watch Hill Restaurant and Snack Bar Closed,
0,Information,"Starting November 1, the site is open Wednesday, Thursday, Friday, and Saturday. Guided tours of the Saxton House are offered daily from 10:00am - 3:00pm. Tours begin at the Education Center. For more information call: 330-452-0876.",53FA464A-A56E-F4A4-63C9FF2907B0AF0B,fila,"Winter Hours Begin Nov 1, 2019",
0,Information,"During the winter, The Rocky Mountain Conservancy (RMC) issues entrance fees for the Monument.  By agreement with the NPS, RMC is unable to issue Military/Access/4th Grade passes. NPS staff may be available to issue these passes on a limited basis.",3C5DE2C1-9126-762F-7E2B3AD1A536ED6D,flfo,"Military, Access, and 4th Grade Passes Limited Availability - Call Ahead",
0,Information,"During winter, entrance fees are issued by The Rocky Mountain Conservancy bookstore.  The bookstore only issues individual park passes ($10/ adult) or park annual passes ($35) or the interagency annual pass ($80). Senior passes are not available.",28797564-91C1-7D1F-50D5C0AFCC33A2A0,flfo,Senior Passes will be unavailable until May 2020,
0,Information,The restrooms at Randall Circle and the Ridge Picnic Area will be closed until mid-April.,19744A77-1DD8-B71B-0BEF564A8C8A5B3D,fodu,Restrooms Closed,
0,Information,"The public restrooms, near the visitor center, are under construction. There are port-a-potties and a hand-washing station available for use. They are located near the bus parking lot.",560284C5-0DAF-2418-1F453894A2486890,fofr,Public Restrooms Under Construction,
0,Park Closure,"The Visitor Center dock sustained minor damage from Hurricane Dorian. Boat tours to Fort Matanzas will be suspended until repairs are completed. However the park grounds, boardwalks and nature trail are open (Last Updated 1-4-2020)",03E71A46-EA93-5F69-30B73DAD6877F61C,foma,Boat tours suspended due to minor dock repairs,
0,Information,Winter weather in the Allegheny Mountains can cause delays in park opening as road and lots are cleared.  Call 724-329-5802 for the latest information on park closures and delays.,308EFC70-1DD8-B71B-0B6B0AF4496DACC8,fone,Winter Weather Notifications - Call ahead if the weather is bad,
0,Park Closure,From November 2019 through August 2020 the entire barbette tier (top floor) and the second and third floor casemates at Fort Point will be closed to accommodate a restorative brick repointing process (renewing the mortar joints in the masonry).,143D43CB-D89A-DA1B-6D1808BCDF6B81E9,fopo,Closures due to Brick Repointing,
0,Information,"The use of drones or other remote-controlled unmanned aircraft, is prohibited in the park for issues relating to visitor safety and experience, and wildlife and resource protection. For more info, see section 1.5(a)(1) of the Superintendent's Compendium.",02FCBECC-EE02-097B-8D07A98C58A219B5,fopu,Drones are Prohibited in Fort Pulaski National Monument,
0,Information,Fort Sumter tours departing from Patriots Point from January 3 through February 29 offer no access for the disabled and/or those with mobility issues.,3BE81D66-BD36-2155-B8B0FC119A8C5A4B,fosu,Accessibility Advisory from Patriots Point,
0,Information,"The museum, restrooms, museum store and top level of Fort Sumter are only accessible by climbing stairs. For more information visit the link below or call 843-883-3123.",3EFCA999-DDA5-8550-2675ABACE703B7C9,fosu,No Elevator Service at Fort Sumter,https://www.nps.gov/fosu/planyourvisit/accessibility.htm
0,Park Closure,"The Petersen House will be closed for repairs to the plaster walls and other preservation work from February 3-29. The Theatre, Museum, and Aftermath Exhibits will be open on their regular schedules (see link for ticket options and open times).",3AF8DCF8-9C46-C546-C240D5D20DC4307F,foth,Petersen House Closed for Preservation Work Feb. 3-29,https://www.fords.org/visit/historic-site/
0,Information,"Winter weather in southwestern Pennsylvania change often and can cause delays in park opening as roads, walks, and parking areas are cleared. Call 724-329-5802 for the latest information on park closures and delays.",3E22BB79-1DD8-B71B-0BEC0A9479578954,frhi,Winter Closure Information Line,
0,Information,"The Gallatin Houses is open Saturdays and Sundays only, 9 a.m. - 5 p.m. October through April.
Park grounds and trails remain open daily from sunrise to sunset.",142F218E-FC42-0437-0FE1B045DA53E57A,frhi,Gallatin House Winter Hours,
0,Danger,"Beginning on Tuesday, October 1, the Greyhound Bus Depot alleyway will be closed to vehicle transit. The alleyway closure will provide safer access to the historic site, exhibits and mural viewing, and interpretive programs.",47486D61-9D4B-E249-9C81682B7786D2E0,frri,Greyhound Bus Depot Alleyway Closed to Vehicle Transit,
0,Information,Portable toilets are available outside the Chancellorsville Visitor Center. Drinking water is available inside the visitor center.,3D01EE5B-C51F-3B76-1479D93F7851C022,frsp,Restrooms at Chancellorsville Visitor Center are closed.,
0,Park Closure,Sandy Hook's False Tip will be closed from Jan. 20 through March 1.,0E0A3433-F708-FDB3-2904C7D5F6CDB00F,gate,Sandy Hook's False Tip will be closed Jan. 20 through March 1,
0,Information,Off-road fishing permits will go on sale at 9 a.m. on Feb. 1 at the Ryan Visitor Center. Please do not arrive before 6 a.m. and be mindful of the new traffic pattern.,0E1FCC04-B65F-470C-CA3038662807F58E,gate,Breezy Point Tip fishing permits will go on sale Feb. 1,
0,Park Closure,All restroom facilities are closed at the site until we reopen on Thursday February 6th due to a water supply repair underway in nearby Riverside Park. Visitor Center and Mausoleum will remain open Sunday and Wednesday.,474D76A3-B5BD-AC0C-FD50481A344780F3,gegr,Restrooms CLOSED Sunday February 2nd through 5 pm Wednesday February 5th,
0,Information,George Rogers Clark National Historical Park is located in the Eastern Time Zone. The park is open 9:00 am until 5:00 pm (Eastern time). The memorial closes 15 minutes before the visitor center.,3E591035-00B8-04B0-F55CA37E71209DA7,gero,George Rogers Clark NHP in the Eastern Time Zone,
0,Information,Reminder: Winter hours for the battlefield (6 am - 7 pm) and Museum & Visitor Center (9 am - 5 pm) begin November 1. Click the MORE link below for full details on our Operating Hours & Seasons page.,21F9C99A-A68C-4B24-5D2F09162B89B3D9,gett,Winter Hours begin on November 1,https://www.nps.gov/gett/planyourvisit/hours.htm
