,,,,,
,Park,Traffic Counter,Year,Month,Traffic Count
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2018,1,544
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2018,2,761
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2018,3,"2,114"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2018,4,"2,546"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2018,5,"3,359"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2018,6,"3,536"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2018,7,"5,500"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2018,8,"1,512"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2018,9,"3,000"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2018,10,"2,200"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2018,11,"1,205"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2018,12,510
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2019,1,330
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2019,2,439
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2019,3,793
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2019,4,"1,156"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2019,5,"1,462"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2019,6,"2,215"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2019,7,"3,235"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2019,8,"3,347"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2019,9,"2,935"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2019,10,"2,120"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2019,11,904
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT KNOB CREEK,2019,12,479
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2018,1,"1,173"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2018,2,"1,776"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2018,3,"3,485"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2018,4,"3,925"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2018,5,"4,488"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2018,6,"4,746"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2018,7,"5,941"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2018,8,"3,464"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2018,9,"3,593"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2018,10,"3,773"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2018,11,"2,232"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2018,12,423
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2019,1,66
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2019,2,"1,431"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2019,3,"3,600"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2019,4,"2,380"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2019,5,"4,010"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2019,6,"3,856"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2019,7,"5,419"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2019,8,"4,599"
,Abraham Lincoln Birthplace NHP,TRAFFIC COUNT AT MAIN ENTRANCE,2019,9,"4,071"
