,,,,,,,,
,Park,Unit Code,Park Type,Region,Traffic Counter,Year,Month,Traffic Count
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2016,1,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2016,2,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2016,3,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2016,4,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2016,5,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2016,6,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2016,7,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2016,8,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2016,9,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2016,10,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2016,11,0
,Katmai NP & PRES,KATM,National Park,Alaska,TRAFFIC COUNT AT LAKE CAMP,2016,12,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2016,1,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2016,2,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2016,3,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2016,4,93
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2016,5,"7,184"
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2016,6,"13,297"
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2016,7,"18,132"
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2016,8,"15,111"
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2016,9,"7,369"
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2016,10,"1,431"
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2016,11,0
,Kenai Fjords NP,KEFJ,National Park,Alaska,TRAFFIC COUNT AT EXIT GLACIER,2016,12,0
