,,,,,,,,,,,,,,,,,,
,Park,Unit Code,Park Type,Region,State,Year,Month,Recreation Visits,Non-Recreation Visits,Recreation Hours,Non-Recreation Hours,"Concessioner
Lodging","Concessioner
Camping",Tent Campers,RV Campers,Backcountry Campers,Non-Recreation Overnight Stays,Misc. Overnight Stays
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2017,1,0,0,0,0,0,0,0,0,0,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2017,2,0,0,0,0,0,0,0,0,0,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2017,3,0,0,0,0,0,0,0,0,0,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2017,4,0,0,0,0,0,0,0,0,0,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2017,5,0,0,0,0,0,0,0,0,0,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2017,6,20,0,"1,200",0,0,0,0,0,50,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2017,7,35,0,"1,920",0,0,0,0,0,80,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2017,8,35,0,"1,920",0,0,0,0,0,80,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2017,9,10,0,600,0,0,0,0,0,25,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2017,10,0,0,0,0,0,0,0,0,0,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2017,11,0,0,0,0,0,0,0,0,0,0,0
,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2017,12,0,0,0,0,0,0,0,0,0,0,0
,Bering Land Bridge NPRES,BELA,National Preserve,Alaska,AK,2017,1,260,40,780,40,0,0,0,0,115,0,0
,Bering Land Bridge NPRES,BELA,National Preserve,Alaska,AK,2017,2,127,133,381,133,0,0,0,0,70,45,0
,Bering Land Bridge NPRES,BELA,National Preserve,Alaska,AK,2017,3,292,262,876,262,0,0,0,0,174,51,0
,Bering Land Bridge NPRES,BELA,National Preserve,Alaska,AK,2017,4,216,164,648,164,0,0,0,0,102,24,0
,Bering Land Bridge NPRES,BELA,National Preserve,Alaska,AK,2017,5,172,145,516,145,0,0,0,0,52,22,0
,Bering Land Bridge NPRES,BELA,National Preserve,Alaska,AK,2017,6,148,23,444,23,0,0,0,0,56,21,0
,Bering Land Bridge NPRES,BELA,National Preserve,Alaska,AK,2017,7,438,21,"1,314",21,0,0,0,0,174,56,0
,Bering Land Bridge NPRES,BELA,National Preserve,Alaska,AK,2017,8,156,21,468,21,0,0,0,0,78,33,0
,Bering Land Bridge NPRES,BELA,National Preserve,Alaska,AK,2017,9,61,11,183,11,0,0,0,0,21,10,0
,Bering Land Bridge NPRES,BELA,National Preserve,Alaska,AK,2017,10,422,51,"1,266",51,0,0,0,0,174,42,0
,Bering Land Bridge NPRES,BELA,National Preserve,Alaska,AK,2017,11,182,122,546,122,0,0,0,0,52,30,0
,Bering Land Bridge NPRES,BELA,National Preserve,Alaska,AK,2017,12,168,135,504,135,0,0,0,0,55,26,0
,Cape Krusenstern NM,CAKR,National Monument,Alaska,AK,2017,1,"1,400",700,"3,400",700,0,0,0,0,550,350,0
,Cape Krusenstern NM,CAKR,National Monument,Alaska,AK,2017,2,600,300,"1,500",300,0,0,0,0,300,200,0
,Cape Krusenstern NM,CAKR,National Monument,Alaska,AK,2017,3,700,350,"1,700",350,0,0,0,0,325,350,0
